name,price,rr
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹79,999","9,247 Ratings & 570 Reviews"
"POCO M4 5G (Cool Blue, 128 GB)","₹13,999","35,379 Ratings & 2,604 Reviews"
"realme 8 (Cyber Black, 128 GB)","₹14,999","96,197 Ratings & 8,409 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999","9,920 Ratings & 981 Reviews"
LAVA A3,"₹1,212","19,635 Ratings & 2,139 Reviews"
"Infinix Note 12 Pro 5G (Force Black, 128 GB)","₹16,999","24,168 Ratings & 2,868 Reviews"
"REDMI Note 12 (Lunar Black, 64 GB)","₹14,999","1,779 Ratings & 158 Reviews"
"vivo T1 44W (Ice Dawn, 128 GB)","₹15,999","58,200 Ratings & 4,079 Reviews"
"realme 9 5G (Stargaze White, 128 GB)","₹17,499","50,145 Ratings & 3,222 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999","58,200 Ratings & 4,079 Reviews"
"vivo T1 44W (Midnight Galaxy, 128 GB)","₹15,999","58,200 Ratings & 4,079 Reviews"
"realme GT 2 (Paper Green, 128 GB)","₹24,999","6,638 Ratings & 858 Reviews"
"realme 9 5G (Stargaze White, 128 GB)","₹17,499","50,145 Ratings & 3,222 Reviews"
"vivo T1 44W (Starry Sky, 128 GB)","₹15,999","58,200 Ratings & 4,079 Reviews"
