name,price,rr,brand,orignal_price,discount
Small 19 L Backpack CAPTAIN AMERICA BAG,₹250,,MhIwood,₹599,58% off
Large 40 L Backpack Alto,₹849,,PAZZO,"₹1,499",43% off
Medium 30 L Laptop Backpack Backpack For College School...,₹419,,WROGN,"₹2,999",86% off
Medium 23 L Backpack Stanza,"₹1,099",,Wildcraft,"₹2,399",54% off
Large 70 L Backpack TRAVEL BACKPACK Hiking Bag Rucksack...,₹899,,Justify,"₹3,998",77% off
Small 10 L Backpack RAGER 10L DAYPACK BLACK,₹489,,SKYBAGS,"₹1,120",56% off
Large 37 L Laptop Backpack Laptop Backpack navy blue ca...,₹576,,Isparro,"₹1,999",71% off
Large 32 L Backpack HI-Storage Black Backpack With Rain...,₹727,,NorthZone,"₹1,599",54% off
"Medium 22 L Backpack Wild-Tourist Bag Use For College, ...",₹379,,ONEGO,"₹1,299",70% off
Large 35 L Backpack Pixel Pro,₹899,,Paul London,"₹2,199",59% off
Medium 25 L Laptop Backpack Ultra Lightweight,₹369,,BRIVER,"₹1,199",69% off
Medium 23 L Backpack Stanza,"₹1,099",,Wildcraft,"₹2,399",54% off
Medium 30 L Laptop Backpack simna.1378/1 black orange s...,₹684,,Flycraft,"₹2,999",77% off
Medium 30 L Laptop Backpack High Quality Backpack Highl...,₹592,,AYZON,"₹2,999",80% off
Large 35 L Backpack 35L spacy bagpack 4th to 10th class...,₹599,,xfast,"₹1,899",68% off
135 L Backpack Executive,"₹1,499",,delivery champ,"₹2,499",40% off
Medium 22 L Backpack ACE DAYPACK - MAGENTA,₹839,,AMERICAN TOURISTER,"₹1,450",42% off
Large 35 L Laptop Backpack Premium Quality School/Casua...,₹382,,zikrefast,"₹2,499",84% off
Medium 23 L Backpack Boho 01 With Raincover,"₹1,699",,SKYBAGS,"₹2,800",39% off
Large 32 L Backpack NEW NEON 17 BLUE 32L BACKPACK,"₹1,699",,SKYBAGS,"₹1,998",14% off
Large 40 L Backpack 40L Casual Trendy Laptop Backpack S...,₹499,,Bluejay,"₹1,299",61% off
Large 35 L Laptop Backpack NS 003,₹725,,NS NEW STYLE,"₹1,999",63% off
Medium 30 L Backpack laptop Bag||College Bag||BACKPACK|...,₹381,,HP,"₹1,108",65% off
Small 20 L Backpack,₹899,,PUMA,"₹1,199",25% off
Large 45 L Laptop Backpack Waterproof Laptop Bag/Backpa...,₹499,,SKY RISE,"₹1,599",68% off
Medium 25 L Backpack Large 36 L Laptop BackpaMedium Bac...,"₹1,699",,SKYBAGS,"₹3,100",45% off
Large 40 L Laptop Backpack Backpack For College School ...,₹599,,Roadster,"₹2,999",80% off
Medium 22 L Backpack Pioneer II,₹899,,PUMA,"₹1,199",25% off
Large 67 L Backpack Maxim,"₹1,049",,delivery champ,"₹1,999",47% off
Large 65 L Backpack Backpack spacy unisex backpack fits...,₹543,,Decent,"₹2,999",81% off
